Date,Rate
2021-03-11,27.7016
2021-03-12,27.7486
2021-03-13,27.7486
2021-03-14,27.7486
2021-03-15,27.7305
2021-03-16,27.6434
2021-03-17,27.6525
2021-03-18,27.6978
2021-03-19,27.6828
2021-03-20,27.6828
2021-03-21,27.6828
2021-03-22,27.7184
2021-03-23,27.6871
2021-03-24,27.7295
2021-03-25,27.8706
2021-03-26,27.9698
2021-03-27,27.9698
2021-03-28,27.9698
2021-03-29,27.9679
2021-03-30,27.9694
2021-03-31,27.8852
2021-04-01,27.8226
2021-04-02,27.8324
2021-04-03,27.8324
2021-04-04,27.8324
2021-04-05,27.9555
2021-04-06,27.939
2021-04-07,27.8384
2021-04-08,27.8923
2021-04-09,27.9768
2021-04-10,27.9768
2021-04-11,27.9768
2021-04-12,27.9094
2021-04-13,27.9335
2021-04-14,28.0156
2021-04-15,27.9765
2021-04-16,27.9592
2021-04-17,27.9592
2021-04-18,27.9592
2021-04-19,27.9783
2021-04-20,28.0087
2021-04-21,28.0096
2021-04-22,28.0576
2021-04-23,28.0642
2021-04-24,28.0642
2021-04-25,28.0642
2021-04-26,27.9014
2021-04-27,27.8558
2021-04-28,27.7715
2021-04-29,27.7867
2021-04-30,27.75
2021-05-01,27.75
2021-05-02,27.75
2021-05-03,27.75
2021-05-04,27.75
2021-05-05,27.733
2021-05-06,27.7339
2021-05-07,27.7205
2021-05-08,27.7205
2021-05-09,27.7205
2021-05-10,27.7205
2021-05-11,27.7641
2021-05-12,27.6744
2021-05-13,27.6318
2021-05-14,27.6273
2021-05-15,27.6273
2021-05-16,27.6273
2021-05-17,27.6142
2021-05-18,27.555
2021-05-19,27.4368
2021-05-20,27.4166
2021-05-21,27.4665
2021-05-22,27.4665
2021-05-23,27.4665
2021-05-24,27.4572
2021-05-25,27.4281
2021-05-26,27.4553
2021-05-27,27.5461
2021-05-28,27.526
2021-05-29,27.526
2021-05-30,27.526
2021-05-31,27.5004
2021-06-01,27.4674
2021-06-02,27.4381
2021-06-03,27.3449
2021-06-04,27.34
2021-06-05,27.34
2021-06-06,27.34
2021-06-07,27.2914
2021-06-08,27.1923
2021-06-09,27.1764
2021-06-10,27.0906
2021-06-11,27.1068
2021-06-12,27.1068
2021-06-13,27.1068
2021-06-14,27.0404
2021-06-15,26.9957
2021-06-16,26.9258
2021-06-17,27.0275
2021-06-18,27.1712
2021-06-19,27.1712
2021-06-20,27.1712
2021-06-21,27.1712
2021-06-22,27.1935
2021-06-23,27.305
2021-06-24,27.2737
2021-06-25,27.4589
2021-06-26,27.4589
2021-06-27,27.4589
2021-06-28,27.4589
2021-06-29,27.3964
2021-06-30,27.1763
2021-07-01,27.2275
2021-07-02,27.3841
2021-07-03,27.3841
2021-07-04,27.3841
2021-07-05,27.4121
2021-07-06,27.2904
2021-07-07,27.2497
2021-07-08,27.2993
2021-07-09,27.2862
2021-07-10,27.2862
2021-07-11,27.2862
2021-07-12,27.3234
2021-07-13,27.2904
2021-07-14,27.3216
2021-07-15,27.3047
2021-07-16,27.2905
2021-07-17,27.2905
2021-07-18,27.2905
2021-07-19,27.2301
2021-07-20,27.2132
2021-07-21,27.2205
2021-07-22,27.2405
2021-07-23,27.1915
2021-07-24,27.1915
2021-07-25,27.1915
